~id,name:String,preferred_id:String,~label
GO:0042406,Extrinsic Component Of Endoplasmic Reticulum Membrane,cellular component_id,CellularComponent
GO:0031313,Extrinsic Component Of Endosome Membrane,cellular component_id,CellularComponent
GO:0101002,Ficolin-1-Rich Granule,cellular component_id,CellularComponent
GO:1904813,Ficolin-1-Rich Granule Lumen,cellular component_id,CellularComponent
GO:0101003,Ficolin-1-Rich Granule Membrane,cellular component_id,CellularComponent
GO:0030175,Filopodium,cellular component_id,CellularComponent
GO:0031527,Filopodium Membrane,cellular component_id,CellularComponent
GO:0016600,Flotillin Complex,cellular component_id,CellularComponent
GO:0005925,Focal Adhesion,cellular component_id,CellularComponent
GO:0042106,Gamma-Delta T Cell Receptor Complex,cellular component_id,CellularComponent
GO:0005921,Gap Junction,cellular component_id,CellularComponent
GO:0060293,Germ Plasm,cellular component_id,CellularComponent
GO:0097386,Glial Cell Projection,cellular component_id,CellularComponent
GO:0098978,Glutamatergic Synapse,cellular component_id,CellularComponent
GO:0030056,Hemidesmosome,cellular component_id,CellularComponent
GO:0000792,Heterochromatin,cellular component_id,CellularComponent
GO:0005834,Heterotrimeric G-protein Complex,cellular component_id,CellularComponent
GO:0034364,High-Density Lipoprotein Particle,cellular component_id,CellularComponent
GO:0000123,Histone Acetyltransferase Complex,cellular component_id,CellularComponent
GO:0060077,Inhibitory Synapse,cellular component_id,CellularComponent
GO:0032593,Insulin-Responsive Compartment,cellular component_id,CellularComponent
GO:0014704,Intercalated Disc,cellular component_id,CellularComponent
GO:0005882,Intermediate Filament,cellular component_id,CellularComponent
GO:0045111,Intermediate Filament Cytoskeleton,cellular component_id,CellularComponent
GO:0017071,Intracellular Cyclic Nucleotide Activated Cation Channel Complex,cellular component_id,CellularComponent
GO:0043231,Intracellular Membrane-Bounded Organelle,cellular component_id,CellularComponent
GO:0043232,Intracellular Non-Membrane-Bounded Organelle,cellular component_id,CellularComponent
GO:0070013,Intracellular Organelle Lumen,cellular component_id,CellularComponent
GO:0097708,Intracellular Vesicle,cellular component_id,CellularComponent
GO:0008328,Ionotropic Glutamate Receptor Complex,cellular component_id,CellularComponent
GO:0014701,Junctional Sarcoplasmic Reticulum Membrane,cellular component_id,CellularComponent
GO:0045095,Keratin Filament,cellular component_id,CellularComponent
GO:0005828,Kinetochore Microtubule,cellular component_id,CellularComponent
GO:0042599,Lamellar Body,cellular component_id,CellularComponent
GO:0015934,Large Ribosomal Subunit,cellular component_id,CellularComponent
GO:0005770,Late Endosome,cellular component_id,CellularComponent
GO:0031906,Late Endosome Lumen,cellular component_id,CellularComponent
GO:0031902,Late Endosome Membrane,cellular component_id,CellularComponent
GO:0005811,Lipid Droplet,cellular component_id,CellularComponent
GO:0034362,Low-Density Lipoprotein Particle,cellular component_id,CellularComponent
GO:0098553,Lumenal Side Of Endoplasmic Reticulum Membrane,cellular component_id,CellularComponent
GO:0043202,Lysosomal Lumen,cellular component_id,CellularComponent
GO:0005765,Lysosomal Membrane,cellular component_id,CellularComponent
GO:0005764,Lysosome,cellular component_id,CellularComponent
GO:0000323,Lytic Vacuole,cellular component_id,CellularComponent
GO:0098852,Lytic Vacuole Membrane,cellular component_id,CellularComponent
GO:0005847,mRNA Cleavage And Polyadenylation Specificity Factor Complex,cellular component_id,CellularComponent
GO:0044354,Macropinosome,cellular component_id,CellularComponent
GO:0042470,Melanosome,cellular component_id,CellularComponent
GO:0033162,Melanosome Membrane,cellular component_id,CellularComponent
GO:0005579,Membrane Attack Complex,cellular component_id,CellularComponent
GO:0045121,Membrane Raft,cellular component_id,CellularComponent
GO:0031907,Microbody Lumen,cellular component_id,CellularComponent
GO:0031903,Microbody Membrane,cellular component_id,CellularComponent
GO:0001527,Microfibril,cellular component_id,CellularComponent
GO:0005874,Microtubule,cellular component_id,CellularComponent
GO:0015630,Microtubule Cytoskeleton,cellular component_id,CellularComponent
GO:0005902,Microvillus,cellular component_id,CellularComponent
GO:0031528,Microvillus Membrane,cellular component_id,CellularComponent
GO:0005947,Mitochondrial Alpha-Ketoglutarate Dehydrogenase Complex,cellular component_id,CellularComponent
GO:0005740,Mitochondrial Envelope,cellular component_id,CellularComponent
GO:0005743,Mitochondrial Inner Membrane,cellular component_id,CellularComponent
GO:0005758,Mitochondrial Intermembrane Space,cellular component_id,CellularComponent
GO:0005759,Mitochondrial Matrix,cellular component_id,CellularComponent
GO:0031966,Mitochondrial Membrane,cellular component_id,CellularComponent
GO:0005741,Mitochondrial Outer Membrane,cellular component_id,CellularComponent
GO:0005742,Mitochondrial Outer Membrane Translocase Complex,cellular component_id,CellularComponent
GO:0005753,Mitochondrial Proton-Transporting ATP Synthase Complex,cellular component_id,CellularComponent
GO:0000276,"Mitochondrial Proton-Transporting ATP Synthase Complex, Coupling Factor F(o)",cellular component_id,CellularComponent
GO:0005747,Mitochondrial Respiratory Chain Complex I,cellular component_id,CellularComponent
GO:0005750,Mitochondrial Respiratory Chain Complex III,cellular component_id,CellularComponent
GO:0005751,Mitochondrial Respiratory Chain Complex IV,cellular component_id,CellularComponent
GO:0005761,Mitochondrial Ribosome,cellular component_id,CellularComponent
GO:0072686,Mitotic Spindle,cellular component_id,CellularComponent
GO:1990498,Mitotic Spindle Microtubule,cellular component_id,CellularComponent
GO:0034702,Monoatomic Ion Channel Complex,cellular component_id,CellularComponent
GO:0031514,Motile Cilium,cellular component_id,CellularComponent
GO:0030681,Multimeric Ribonuclease P Complex,cellular component_id,CellularComponent
GO:0005771,Multivesicular Body,cellular component_id,CellularComponent
GO:0097486,Multivesicular Body Lumen,cellular component_id,CellularComponent
GO:0032585,Multivesicular Body Membrane,cellular component_id,CellularComponent
GO:0097487,"Multivesicular Body, Internal Vesicle",cellular component_id,CellularComponent
GO:0005859,Muscle Myosin Complex,cellular component_id,CellularComponent
GO:0030016,Myofibril,cellular component_id,CellularComponent
GO:0032982,Myosin Filament,cellular component_id,CellularComponent
GO:0071565,nBAF Complex,cellular component_id,CellularComponent
GO:0031594,Neuromuscular Junction,cellular component_id,CellularComponent
GO:0043005,Neuron Projection,cellular component_id,CellularComponent
GO:0120111,Neuron Projection Cytoplasm,cellular component_id,CellularComponent
GO:0098984,Neuron To Neuron Synapse,cellular component_id,CellularComponent
GO:0098992,Neuronal Dense Core Vesicle,cellular component_id,CellularComponent
GO:0098878,Neurotransmitter Receptor Complex,cellular component_id,CellularComponent
GO:0097730,Non-Motile Cilium,cellular component_id,CellularComponent
GO:0071564,npBAF Complex,cellular component_id,CellularComponent
GO:0000228,Nuclear Chromosome,cellular component_id,CellularComponent
GO:0005641,Nuclear Envelope Lumen,cellular component_id,CellularComponent
GO:0042405,Nuclear Inclusion Body,cellular component_id,CellularComponent
GO:0005637,Nuclear Inner Membrane,cellular component_id,CellularComponent
GO:0031981,Nuclear Lumen,cellular component_id,CellularComponent
GO:0031965,Nuclear Membrane,cellular component_id,CellularComponent
GO:0005640,Nuclear Outer Membrane,cellular component_id,CellularComponent
GO:0097165,Nuclear Stress Granule,cellular component_id,CellularComponent
GO:0101019,Nucleolar Exosome (RNase Complex),cellular component_id,CellularComponent
GO:0005730,Nucleolus,cellular component_id,CellularComponent
GO:0005634,Nucleus,cellular component_id,CellularComponent
GO:0031970,Organelle Envelope Lumen,cellular component_id,CellularComponent
GO:0019866,Organelle Inner Membrane,cellular component_id,CellularComponent
GO:0031968,Organelle Outer Membrane,cellular component_id,CellularComponent
GO:0036157,Outer Dynein Arm,cellular component_id,CellularComponent
GO:0005721,Pericentric Heterochromatin,cellular component_id,CellularComponent
GO:0072534,Perineuronal Net,cellular component_id,CellularComponent
GO:0098966,Perisynaptic Extracellular Matrix,cellular component_id,CellularComponent
GO:0005782,Peroxisomal Matrix,cellular component_id,CellularComponent
GO:0005778,Peroxisomal Membrane,cellular component_id,CellularComponent
GO:0005777,Peroxisome,cellular component_id,CellularComponent
GO:0045335,Phagocytic Vesicle,cellular component_id,CellularComponent
GO:0030670,Phagocytic Vesicle Membrane,cellular component_id,CellularComponent
GO:0097651,"Phosphatidylinositol 3-Kinase Complex, Class I",cellular component_id,CellularComponent
GO:0005943,"Phosphatidylinositol 3-Kinase Complex, Class IA",cellular component_id,CellularComponent
GO:0035032,"Phosphatidylinositol 3-Kinase Complex, Class III",cellular component_id,CellularComponent
GO:0071546,Pi-Body,cellular component_id,CellularComponent
GO:0048770,Pigment Granule,cellular component_id,CellularComponent
GO:0090741,Pigment Granule Membrane,cellular component_id,CellularComponent
GO:0044352,Pinosome,cellular component_id,CellularComponent
GO:0044853,Plasma Membrane Raft,cellular component_id,CellularComponent
GO:0031091,Platelet Alpha Granule,cellular component_id,CellularComponent
GO:0031093,Platelet Alpha Granule Lumen,cellular component_id,CellularComponent
GO:0031092,Platelet Alpha Granule Membrane,cellular component_id,CellularComponent
GO:0042827,Platelet Dense Granule,cellular component_id,CellularComponent
GO:0031089,Platelet Dense Granule Lumen,cellular component_id,CellularComponent
GO:0031088,Platelet Dense Granule Membrane,cellular component_id,CellularComponent
GO:0031094,Platelet Dense Tubular Network,cellular component_id,CellularComponent
GO:0031095,Platelet Dense Tubular Network Membrane,cellular component_id,CellularComponent
GO:0002102,Podosome,cellular component_id,CellularComponent
GO:0099513,Polymeric Cytoskeletal Fiber,cellular component_id,CellularComponent
GO:0042788,Polysomal Ribosome,cellular component_id,CellularComponent
GO:0071014,post-mRNA Release Spliceosomal Complex,cellular component_id,CellularComponent
GO:0014069,Postsynaptic Density,cellular component_id,CellularComponent
GO:0098839,Postsynaptic Density Membrane,cellular component_id,CellularComponent
GO:0098837,Postsynaptic Recycling Endosome,cellular component_id,CellularComponent
GO:0099634,Postsynaptic Specialization Membrane,cellular component_id,CellularComponent
GO:0034705,Potassium Channel Complex,cellular component_id,CellularComponent
GO:0071011,Precatalytic Spliceosome,cellular component_id,CellularComponent
GO:0030687,"Preribosome, Large Subunit Precursor",cellular component_id,CellularComponent
GO:0030688,"Preribosome, Small Subunit Precursor",cellular component_id,CellularComponent
GO:0071010,Prespliceosome,cellular component_id,CellularComponent
GO:0005766,Primary Lysosome,cellular component_id,CellularComponent
GO:1902911,Protein Kinase Complex,cellular component_id,CellularComponent
GO:0030289,Protein Phosphatase 4 Complex,cellular component_id,CellularComponent
GO:0000159,Protein Phosphatase Type 2A Complex,cellular component_id,CellularComponent
GO:0008287,Protein Serine/Threonine Phosphatase Complex,cellular component_id,CellularComponent
GO:0045259,Proton-Transporting ATP Synthase Complex,cellular component_id,CellularComponent
GO:0033176,Proton-Transporting V-type ATPase Complex,cellular component_id,CellularComponent
GO:0033179,"Proton-Transporting V-type ATPase, V0 Domain",cellular component_id,CellularComponent
GO:0033180,"Proton-Transporting V-type ATPase, V1 Domain",cellular component_id,CellularComponent
GO:0031143,Pseudopodium,cellular component_id,CellularComponent
GO:0055037,Recycling Endosome,cellular component_id,CellularComponent
GO:0055038,Recycling Endosome Membrane,cellular component_id,CellularComponent
GO:0045271,Respiratory Chain Complex I,cellular component_id,CellularComponent
GO:0045275,Respiratory Chain Complex III,cellular component_id,CellularComponent
GO:0045277,Respiratory Chain Complex IV,cellular component_id,CellularComponent
GO:0000172,Ribonuclease MRP Complex,cellular component_id,CellularComponent
GO:0005840,Ribosome,cellular component_id,CellularComponent
GO:0005791,Rough Endoplasmic Reticulum,cellular component_id,CellularComponent
GO:0030867,Rough Endoplasmic Reticulum Membrane,cellular component_id,CellularComponent
GO:0016012,Sarcoglycan Complex,cellular component_id,CellularComponent
GO:0042383,Sarcolemma,cellular component_id,CellularComponent
GO:0016529,Sarcoplasmic Reticulum,cellular component_id,CellularComponent
GO:0033017,Sarcoplasmic Reticulum Membrane,cellular component_id,CellularComponent
GO:0005767,Secondary Lysosome,cellular component_id,CellularComponent
GO:0034774,Secretory Granule Lumen,cellular component_id,CellularComponent
GO:0030667,Secretory Granule Membrane,cellular component_id,CellularComponent
GO:0099503,Secretory Vesicle,cellular component_id,CellularComponent
GO:0032156,Septin Cytoskeleton,cellular component_id,CellularComponent
GO:0005940,Septin Ring,cellular component_id,CellularComponent
GO:0017059,Serine C-palmitoyltransferase Complex,cellular component_id,CellularComponent
GO:0097180,Serine Protease Inhibitor Complex,cellular component_id,CellularComponent
GO:1905370,Serine-Type Endopeptidase Complex,cellular component_id,CellularComponent
GO:1905286,Serine-Type Peptidase Complex,cellular component_id,CellularComponent
GO:1902554,Serine/Threonine Protein Kinase Complex,cellular component_id,CellularComponent
GO:0000803,Sex Chromosome,cellular component_id,CellularComponent
GO:0070187,Shelterin Complex,cellular component_id,CellularComponent
GO:0005786,"Signal Recognition Particle, Endoplasmic Reticulum Targeting",cellular component_id,CellularComponent
GO:0015935,Small Ribosomal Subunit,cellular component_id,CellularComponent
GO:0032040,Small-Subunit Processome,cellular component_id,CellularComponent
GO:0005790,Smooth Endoplasmic Reticulum,cellular component_id,CellularComponent
GO:0034706,Sodium Channel Complex,cellular component_id,CellularComponent
GO:0005890,Sodium:Potassium-Exchanging ATPase Complex,cellular component_id,CellularComponent
GO:0042581,Specific Granule,cellular component_id,CellularComponent
GO:0035580,Specific Granule Lumen,cellular component_id,CellularComponent
GO:0035579,Specific Granule Membrane,cellular component_id,CellularComponent
GO:0014731,Spectrin-Associated Cytoskeleton,cellular component_id,CellularComponent
GO:0036126,Sperm Flagellum,cellular component_id,CellularComponent
GO:0034366,Spherical High-Density Lipoprotein Particle,cellular component_id,CellularComponent
GO:0005819,Spindle,cellular component_id,CellularComponent
GO:0005876,Spindle Microtubule,cellular component_id,CellularComponent
GO:0097525,Spliceosomal snRNP Complex,cellular component_id,CellularComponent
GO:0097526,Spliceosomal tri-snRNP Complex,cellular component_id,CellularComponent
GO:0099512,Supramolecular Fiber,cellular component_id,CellularComponent
GO:0032280,Symmetric Synapse,cellular component_id,CellularComponent
GO:0097060,Synaptic Membrane,cellular component_id,CellularComponent
GO:0030672,Synaptic Vesicle Membrane,cellular component_id,CellularComponent
GO:0043527,tRNA Methyltransferase Complex,cellular component_id,CellularComponent
GO:0070820,Tertiary Granule,cellular component_id,CellularComponent
GO:1904724,Tertiary Granule Lumen,cellular component_id,CellularComponent
GO:0070821,Tertiary Granule Membrane,cellular component_id,CellularComponent
GO:0070160,Tight Junction,cellular component_id,CellularComponent
GO:0005802,trans-Golgi Network,cellular component_id,CellularComponent
GO:0032588,trans-Golgi Network Membrane,cellular component_id,CellularComponent
GO:0030140,trans-Golgi Network Transport Vesicle,cellular component_id,CellularComponent
GO:0005669,Transcription Factor TFIID Complex,cellular component_id,CellularComponent
GO:0000439,Transcription Factor TFIIH Core Complex,cellular component_id,CellularComponent
GO:0005675,Transcription Factor TFIIH Holo Complex,cellular component_id,CellularComponent
GO:0000127,Transcription Factor TFIIIC Complex,cellular component_id,CellularComponent
GO:0033276,Transcription Factor TFTC Complex,cellular component_id,CellularComponent
GO:0061695,"Transferase Complex, Transferring Phosphorus-Containing Groups",cellular component_id,CellularComponent
GO:0030658,Transport Vesicle Membrane,cellular component_id,CellularComponent
GO:0034385,Triglyceride-Rich Plasma Lipoprotein Particle,cellular component_id,CellularComponent
GO:1990246,Uniplex Complex,cellular component_id,CellularComponent
GO:0005775,Vacuolar Lumen,cellular component_id,CellularComponent
GO:0005774,Vacuolar Membrane,cellular component_id,CellularComponent
GO:0016471,Vacuolar Proton-Transporting V-type ATPase Complex,cellular component_id,CellularComponent
GO:0000220,"Vacuolar Proton-Transporting V-type ATPase, V0 Domain",cellular component_id,CellularComponent
GO:0000221,"Vacuolar Proton-Transporting V-type ATPase, V1 Domain",cellular component_id,CellularComponent
GO:0034361,Very-Low-Density Lipoprotein Particle,cellular component_id,CellularComponent
GO:0031982,Vesicle,cellular component_id,CellularComponent
GO:0030120,Vesicle Coat,cellular component_id,CellularComponent
GO:0012506,Vesicle Membrane,cellular component_id,CellularComponent
GO:0005891,Voltage-Gated Calcium Channel Complex,cellular component_id,CellularComponent
GO:0008076,Voltage-Gated Potassium Channel Complex,cellular component_id,CellularComponent
GO:0001518,Voltage-Gated Sodium Channel Complex,cellular component_id,CellularComponent
GO:0005915,Zonula Adherens,cellular component_id,CellularComponent
GO:0042588,Zymogen Granule,cellular component_id,CellularComponent
GO:0042589,Zymogen Granule Membrane,cellular component_id,CellularComponent
